year,Hotel's Class_en,emirate_en,Guests,Nights  
1995,5 star,abu dhabi,42653,104717
1995,4 star,abu dhabi,45655,120978
1995,3 star ,abu dhabi,14763,17942
1995,2 star,abu dhabi,0,0
1995,5 star,dubai,166439,292606
1995,4 star,dubai,44745,91782
1995,3 star ,dubai,62476,116292
1995,2 star,dubai,170135,330319
1995,5 star,sharjah,27671,60805
1995,4 star,sharjah,34493,60687
1995,3 star ,sharjah,0,0
1995,2 star,sharjah,0,0
1995,5 star, Ajman and Umm Al-Qiwain,0,0
1995,4 star, Ajman and Umm Al-Qiwain,0,0
1995,3 star , Ajman and Umm Al-Qiwain,0,0
1995,2 star, Ajman and Umm Al-Qiwain,0,0
1995,5 star,  Ras Al Khaima and Fujeira ,0,0
1995,4 star,  Ras Al Khaima and Fujeira ,0,0
1995,3 star ,  Ras Al Khaima and Fujeira ,0,0
1995,2 star,  Ras Al Khaima and Fujeira ,0,0
1994,5 star,abu dhabi,40931,107154
1994,4 star,abu dhabi,40008,117691
1994,3 star ,abu dhabi,17046,23524
1994,2 star,abu dhabi,0,0
1994,5 star,dubai,106430,222962
1994,4 star,dubai,53413,118094
1994,3 star ,dubai,67126,117418
1994,2 star,dubai,128099,268711
1994,5 star,sharjah,28082,58704
1994,4 star,sharjah,35159,83624
1994,3 star ,sharjah,0,0
1994,2 star,sharjah,0,0
1994,5 star, Ajman and Umm Al-Qiwain,0,0
1994,4 star, Ajman and Umm Al-Qiwain,0,0
1994,3 star , Ajman and Umm Al-Qiwain,0,0
1994,2 star, Ajman and Umm Al-Qiwain,0,0
1994,5 star,  Ras Al Khaima and Fujeira ,0,0
1994,4 star,  Ras Al Khaima and Fujeira ,0,0
1994,3 star ,  Ras Al Khaima and Fujeira ,0,0
1994,2 star,  Ras Al Khaima and Fujeira ,0,0
1993,5 star,abu dhabi,29124,64239
1993,4 star,abu dhabi,33277,100407
1993,3 star ,abu dhabi,15094,19715
1993,2 star,abu dhabi,0,0
1993,5 star,dubai,83740,184382
1993,4 star,dubai,45019,80482
1993,3 star ,dubai,84576,144474
1993,2 star,dubai,118149,264515
1993,5 star,sharjah,33938,80676
1993,4 star,sharjah,44707,102763
1993,3 star ,sharjah,0,0
1993,2 star,sharjah,0,0
1993,5 star, Ajman and Umm Al-Qiwain,0,0
1993,4 star, Ajman and Umm Al-Qiwain,0,0
1993,3 star , Ajman and Umm Al-Qiwain,0,0
1993,2 star, Ajman and Umm Al-Qiwain,0,0
1993,5 star,  Ras Al Khaima and Fujeira ,0,0
1993,4 star,  Ras Al Khaima and Fujeira ,0,0
1993,3 star ,  Ras Al Khaima and Fujeira ,0,0
1993,2 star,  Ras Al Khaima and Fujeira ,0,0
1992,5 star,abu dhabi,31264,68176
1992,4 star,abu dhabi,31874,102875
1992,3 star ,abu dhabi,13379,19796
1992,2 star,abu dhabi,0,0
1992,5 star,dubai,63316,139901
1992,4 star,dubai,37108,61964
1992,3 star ,dubai,61305,115168
1992,2 star,dubai,137132,252113
1992,5 star,sharjah,42964,92573
1992,4 star,sharjah,39925,98176
1992,3 star ,sharjah,0,0
1992,2 star,sharjah,0,0
1992,5 star, Ajman and Umm Al-Qiwain,0,0
1992,4 star, Ajman and Umm Al-Qiwain,0,0
1992,3 star , Ajman and Umm Al-Qiwain,0,0
1992,2 star, Ajman and Umm Al-Qiwain,0,0
1992,5 star,  Ras Al Khaima and Fujeira ,0,0
1992,4 star,  Ras Al Khaima and Fujeira ,0,0
1992,3 star ,  Ras Al Khaima and Fujeira ,0,0
1992,2 star,  Ras Al Khaima and Fujeira ,0,0
1991,5 star,abu dhabi,32699,65765
1991,4 star,abu dhabi,36493,126122
